2025-12-19 16:48:17.455935: Alert #2, Risk: 90
2025-12-19 16:48:17.519816: Alert #2, Risk: 88
2025-12-19 16:48:17.582967: Alert #2, Risk: 86
2025-12-19 16:48:17.645418: Alert #2, Risk: 86
2025-12-19 16:48:17.708704: Alert #2, Risk: 86
2025-12-19 16:48:17.773914: Alert #2, Risk: 86
2025-12-19 16:48:17.836677: Alert #2, Risk: 86
2025-12-19 16:48:17.898557: Alert #2, Risk: 86
2025-12-19 16:48:17.963215: Alert #2, Risk: 86
2025-12-19 16:48:18.026573: Alert #2, Risk: 88
2025-12-19 16:48:18.089268: Alert #2, Risk: 88
2025-12-19 16:48:18.152733: Alert #2, Risk: 88
2025-12-19 16:48:18.216273: Alert #2, Risk: 88
2025-12-19 16:48:18.280097: Alert #2, Risk: 90
2025-12-19 16:48:18.342753: Alert #2, Risk: 92
2025-12-19 16:48:18.406102: Alert #2, Risk: 92
2025-12-19 16:48:18.469430: Alert #2, Risk: 94
2025-12-19 16:48:18.531977: Alert #2, Risk: 94
2025-12-19 16:48:18.595536: Alert #2, Risk: 94
2025-12-19 16:48:18.658810: Alert #2, Risk: 96
2025-12-19 16:48:18.722139: Alert #2, Risk: 86
2025-12-19 16:48:18.784841: Alert #2, Risk: 86
2025-12-19 16:48:18.847250: Alert #2, Risk: 88
2025-12-19 16:48:18.910242: Alert #2, Risk: 88
2025-12-19 16:48:18.973874: Alert #2, Risk: 96
2025-12-19 16:48:19.037406: Alert #2, Risk: 98
2025-12-19 16:48:19.100591: Alert #2, Risk: 92
2025-12-19 16:48:19.164173: Alert #2, Risk: 96
2025-12-19 16:48:19.227503: Alert #2, Risk: 88
2025-12-19 16:48:19.290578: Alert #2, Risk: 78
2025-12-19 16:48:19.354715: Alert #2, Risk: 88
2025-12-19 16:48:19.417960: Alert #2, Risk: 88
2025-12-19 16:48:19.480934: Alert #2, Risk: 86
2025-12-19 16:48:19.543599: Alert #2, Risk: 86
2025-12-19 16:48:19.607463: Alert #2, Risk: 88
2025-12-19 16:48:19.672371: Alert #2, Risk: 94
2025-12-19 16:48:19.735281: Alert #2, Risk: 88
2025-12-19 16:48:19.797137: Alert #2, Risk: 80
2025-12-19 16:48:20.428870: Alert #2, Risk: 76
2025-12-19 16:48:20.492190: Alert #2, Risk: 76
2025-12-19 16:48:20.554412: Alert #2, Risk: 82
2025-12-19 16:48:20.615748: Alert #2, Risk: 82
2025-12-19 16:48:20.678582: Alert #2, Risk: 84
2025-12-19 16:48:20.740627: Alert #2, Risk: 84
2025-12-19 16:48:20.803779: Alert #2, Risk: 78
2025-12-19 16:48:20.867996: Alert #2, Risk: 84
2025-12-19 16:48:20.931828: Alert #2, Risk: 84
